"","TargetName","Module","CodeClass","GeneID","SystematicName","Negative","genes_lowCount_overNsamples","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Olfr510","Olfr510","Mm_R_NGS_WTA_v1.0","Endogenous","258308","Olfr510",FALSE,FALSE,0.295575807808849,4.25524095842422,1.21138462229041,0.252555774254253,0.623564539266925,-5.64199688855684
"Coa8","Coa8","Mm_R_NGS_WTA_v1.0","Endogenous","68020","Coa8",FALSE,FALSE,0.155249833406649,6.06739486918736,1.17397997412055,0.252603315088415,0.623564539266925,-5.75400983751617
"Rbm10","Rbm10","Mm_R_NGS_WTA_v1.0","Endogenous","236732, 433287","Rbm10, Gm15455",FALSE,FALSE,-0.1470784974612,5.12540237734799,-1.17397404533599,0.252605641890078,0.623564539266925,-5.7548090795286
"Cuzd1","Cuzd1","Mm_R_NGS_WTA_v1.0","Endogenous","16433","Cuzd1",FALSE,FALSE,0.151764659591516,4.06644796059102,1.17377646305954,0.252683193843703,0.623630317230044,-5.66349405110924
"Mfn1","Mfn1","Mm_R_NGS_WTA_v1.0","Endogenous","67414","Mfn1",FALSE,FALSE,0.140013144833566,5.98846528727649,1.17374698121137,0.252694767122869,0.623630317230044,-5.75612162520146
"Icos","Icos","Mm_R_NGS_WTA_v1.0","Endogenous","54167","Icos",FALSE,FALSE,-0.177731550506477,3.79986872162378,-1.17364095794682,0.25273639045934,0.623655941006158,-5.61101664714308
"Psmc3","Psmc3","Mm_R_NGS_WTA_v1.0","Endogenous","19182","Psmc3",FALSE,FALSE,0.178929009563646,6.42971533698914,1.17591676027563,0.252848682596774,0.623771194543859,-5.74063969496754
"Pamr1","Pamr1","Mm_R_NGS_WTA_v1.0","Endogenous","210622","Pamr1",FALSE,FALSE,0.193859889295742,3.89637503122192,1.17417400029176,0.252857261032281,0.623771194543859,-5.63384881687308
"Faf2","Faf2","Mm_R_NGS_WTA_v1.0","Endogenous","76577","Faf2",FALSE,FALSE,-0.156791809550676,6.10687998310203,-1.17321131992986,0.252905112874645,0.623771194543859,-5.75213255459855
"Sntb1","Sntb1","Mm_R_NGS_WTA_v1.0","Endogenous","20649","Sntb1",FALSE,FALSE,0.170814233262921,3.86923778329463,1.17318426681386,0.252915739659925,0.623771194543859,-5.63016265123678
"Xpr1","Xpr1","Mm_R_NGS_WTA_v1.0","Endogenous","19775","Xpr1",FALSE,FALSE,-0.145053878400066,6.26249212430449,-1.17311161217576,0.252944280907797,0.623771194543859,-5.74818669764855
"Zc3h12a","Zc3h12a","Mm_R_NGS_WTA_v1.0","Endogenous","230738","Zc3h12a",FALSE,FALSE,0.429285553255315,5.28726546069707,1.24887223586028,0.252991383805067,0.623771194543859,-5.66016259425293
"Snapin","Snapin","Mm_R_NGS_WTA_v1.0","Endogenous","20615","Snapin",FALSE,FALSE,0.152109905238659,5.41994994793037,1.17289156410475,0.253030737989527,0.623771194543859,-5.76376083742007
