"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_CELL2CELL_PATHWAY",9,0.111111111111111,0.333333333333333,"Up",0.1666,0.30033,0.0253,0.0739883720930233
"BIOCARTA_HSP27_PATHWAY",14,0.142857142857143,0.285714285714286,"Up",0.1662,0.30033,0.0257,0.074025
"BIOCARTA_ERAD_PATHWAY",14,0.214285714285714,0,"Down",0.4029,0.510141708542714,0.0259,0.074025
"BIOCARTA_DREAM_PATHWAY",12,0.0833333333333333,0.416666666666667,"Up",0.1989,0.338339597315436,0.0266,0.0751752808988764
"BIOCARTA_P27_PATHWAY",11,0.272727272727273,0.181818181818182,"Down",0.6954,0.771930396475771,0.0277,0.07742
"BIOCARTA_CTL_PATHWAY",13,0.0769230769230769,0.307692307692308,"Up",0.0057,0.1031625,0.0286,0.0782021739130435
"BIOCARTA_CDC25_PATHWAY",8,0.25,0.125,"Down",0.1827,0.3196375,0.0285,0.0782021739130435
"BIOCARTA_ECM_PATHWAY",21,0.0476190476190476,0.523809523809524,"Up",0.0258,0.188668421052632,0.0304,0.0796268041237113
"BIOCARTA_VITCB_PATHWAY",11,0.363636363636364,0.0909090909090909,"Down",0.0547,0.203072727272727,0.0302,0.0796268041237113
"BIOCARTA_MAPK_PATHWAY",76,0.118421052631579,0.342105263157895,"Up",0.0839,0.2322,0.0306,0.0796268041237113
"BIOCARTA_GSK3_PATHWAY",21,0.0952380952380952,0.285714285714286,"Up",0.1997,0.338339597315436,0.0307,0.0796268041237113
"BIOCARTA_EPO_PATHWAY",20,0.1,0.3,"Up",0.3378,0.447963157894737,0.0295,0.0796268041237113
"BIOCARTA_P38MAPK_PATHWAY",32,0.0625,0.34375,"Up",0.0436,0.196875,0.0315,0.0808714285714286
"BIOCARTA_IL2RB_PATHWAY",36,0.0555555555555556,0.361111111111111,"Up",0.0219,0.17761935483871,0.0344,0.086562
"BIOCARTA_CARDIACEGF_PATHWAY",18,0.111111111111111,0.166666666666667,"Up",0.0254,0.188668421052632,0.0343,0.086562
"BIOCARTA_PYK2_PATHWAY",25,0.12,0.44,"Up",0.1653,0.30033,0.0353,0.0870882352941176
